PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
38,0.0,3,0,0,21.0,0,0,8.05,0.0
39,0.0,3,2,1,18.0,2,0,18.0,0.0
40,1.0,3,2,1,14.0,1,0,11.2417,1.0
41,0.0,3,1,1,40.0,1,0,9.475,0.0
42,0.0,2,1,1,27.0,1,0,21.0,0.0
43,0.0,3,0,0,28.0,0,0,7.8958,1.0
44,1.0,2,2,1,3.0,1,2,41.5792,1.0
45,1.0,3,2,1,19.0,0,0,7.8792,2.0
46,0.0,3,0,0,28.0,0,0,8.05,0.0
47,0.0,3,0,0,28.0,1,0,15.5,2.0
48,1.0,3,2,1,28.0,0,0,7.75,2.0
49,0.0,3,0,0,28.0,2,0,21.6792,1.0
50,0.0,3,1,1,18.0,1,0,17.8,0.0
51,0.0,3,3,0,7.0,4,1,39.6875,0.0
52,0.0,3,0,0,21.0,0,0,7.8,0.0
53,1.0,1,1,1,49.0,1,0,76.7292,1.0
54,1.0,2,1,1,29.0,1,0,26.0,0.0
55,0.0,1,0,0,65.0,0,1,61.9792,1.0
56,1.0,1,0,0,28.0,0,0,35.5,0.0
57,1.0,2,2,1,21.0,0,0,10.5,0.0
58,0.0,3,0,0,28.5,0,0,7.2292,1.0
59,1.0,2,2,1,5.0,1,2,27.75,0.0
60,0.0,3,3,0,11.0,5,2,46.9,0.0
61,0.0,3,0,0,22.0,0,0,7.2292,1.0
62,1.0,1,2,1,38.0,0,0,80.0,
63,0.0,1,0,0,45.0,1,0,83.475,0.0
64,0.0,3,3,0,4.0,3,2,27.9,0.0
65,0.0,1,0,0,28.0,0,0,27.7208,1.0
66,1.0,3,3,0,28.0,1,1,15.2458,1.0
67,1.0,2,1,1,29.0,0,0,10.5,0.0
68,0.0,3,0,0,19.0,0,0,8.1583,0.0
69,1.0,3,2,1,17.0,4,2,7.925,0.0
70,0.0,3,0,0,26.0,2,0,8.6625,0.0
71,0.0,2,0,0,32.0,0,0,10.5,0.0
72,0.0,3,2,1,16.0,5,2,46.9,0.0
73,0.0,2,0,0,21.0,0,0,73.5,0.0
74,0.0,3,0,0,26.0,1,0,14.4542,1.0
75,1.0,3,0,0,32.0,0,0,56.4958,0.0
76,0.0,3,0,0,25.0,0,0,7.65,0.0
77,0.0,3,0,0,28.0,0,0,7.8958,0.0
78,0.0,3,0,0,28.0,0,0,8.05,0.0
79,1.0,2,3,0,0.83,0,2,29.0,0.0
80,1.0,3,2,1,30.0,0,0,12.475,0.0
81,0.0,3,0,0,22.0,0,0,9.0,0.0
82,1.0,3,0,0,29.0,0,0,9.5,0.0
83,1.0,3,2,1,28.0,0,0,7.7875,2.0
84,0.0,1,0,0,28.0,0,0,47.1,0.0
85,1.0,2,2,1,17.0,0,0,10.5,0.0
86,1.0,3,1,1,33.0,3,0,15.85,0.0
87,0.0,3,0,0,16.0,1,3,34.375,0.0
88,0.0,3,0,0,28.0,0,0,8.05,0.0
89,1.0,1,2,1,23.0,3,2,263.0,0.0
90,0.0,3,0,0,24.0,0,0,8.05,0.0
91,0.0,3,0,0,29.0,0,0,8.05,0.0
92,0.0,3,0,0,20.0,0,0,7.8542,0.0
93,0.0,1,0,0,46.0,1,0,61.175,0.0
94,0.0,3,0,0,26.0,1,2,20.575,0.0
95,0.0,3,0,0,59.0,0,0,7.25,0.0
96,0.0,3,0,0,28.0,0,0,8.05,0.0
97,0.0,1,0,0,71.0,0,0,34.6542,1.0
98,1.0,1,0,0,23.0,0,1,63.3583,1.0
99,1.0,2,1,1,34.0,0,1,23.0,0.0
100,0.0,2,0,0,34.0,1,0,26.0,0.0
101,0.0,3,2,1,28.0,0,0,7.8958,0.0
102,0.0,3,0,0,28.0,0,0,7.8958,0.0
103,0.0,1,0,0,21.0,0,1,77.2875,0.0
104,0.0,3,0,0,33.0,0,0,8.6542,0.0
105,0.0,3,0,0,37.0,2,0,7.925,0.0
106,0.0,3,0,0,28.0,0,0,7.8958,0.0
107,1.0,3,2,1,21.0,0,0,7.65,0.0
108,1.0,3,0,0,28.0,0,0,7.775,0.0
109,0.0,3,0,0,38.0,0,0,7.8958,0.0
110,1.0,3,2,1,28.0,1,0,24.15,2.0
111,0.0,1,0,0,47.0,0,0,52.0,0.0
112,0.0,3,2,1,14.5,1,0,14.4542,1.0
113,0.0,3,0,0,22.0,0,0,8.05,0.0
114,0.0,3,2,1,20.0,1,0,9.825,0.0
115,0.0,3,2,1,17.0,0,0,14.4583,1.0
116,0.0,3,0,0,21.0,0,0,7.925,0.0
117,0.0,3,0,0,70.5,0,0,7.75,2.0
118,0.0,2,0,0,29.0,1,0,21.0,0.0
119,0.0,1,0,0,24.0,0,1,247.5208,1.0
120,0.0,3,2,1,2.0,4,2,31.275,0.0
121,0.0,2,0,0,21.0,2,0,73.5,0.0
122,0.0,3,0,0,28.0,0,0,8.05,0.0
123,0.0,2,0,0,32.5,1,0,30.0708,1.0
124,1.0,2,2,1,32.5,0,0,13.0,0.0
125,0.0,1,0,0,54.0,0,1,77.2875,0.0
126,1.0,3,3,0,12.0,1,0,11.2417,1.0
127,0.0,3,0,0,28.0,0,0,7.75,2.0
128,1.0,3,0,0,24.0,0,0,7.1417,0.0
129,1.0,3,2,1,28.0,1,1,22.3583,1.0
130,0.0,3,0,0,45.0,0,0,6.975,0.0
131,0.0,3,0,0,33.0,0,0,7.8958,1.0
132,0.0,3,0,0,20.0,0,0,7.05,0.0
133,0.0,3,1,1,47.0,1,0,14.5,0.0
134,1.0,2,1,1,29.0,1,0,26.0,0.0
135,0.0,2,0,0,25.0,0,0,13.0,0.0
136,0.0,2,0,0,23.0,0,0,15.0458,1.0
137,1.0,1,2,1,19.0,0,2,26.2833,0.0
138,0.0,1,0,0,37.0,1,0,53.1,0.0
139,0.0,3,0,0,16.0,0,0,9.2167,0.0
140,0.0,1,0,0,24.0,0,0,79.2,1.0
141,0.0,3,1,1,28.0,0,2,15.2458,1.0
142,1.0,3,2,1,22.0,0,0,7.75,0.0
143,1.0,3,1,1,24.0,1,0,15.85,0.0
144,0.0,3,0,0,19.0,0,0,6.75,2.0
145,0.0,2,0,0,18.0,0,0,11.5,0.0
146,0.0,2,0,0,19.0,1,1,36.75,0.0
147,1.0,3,0,0,27.0,0,0,7.7958,0.0
148,0.0,3,2,1,9.0,2,2,34.375,0.0
149,0.0,2,0,0,36.5,0,2,26.0,0.0
150,0.0,2,5,0,42.0,0,0,13.0,0.0
151,0.0,2,5,0,51.0,0,0,12.525,0.0
152,1.0,1,1,1,22.0,1,0,66.6,0.0
153,0.0,3,0,0,55.5,0,0,8.05,0.0
154,0.0,3,0,0,40.5,0,2,14.5,0.0
155,0.0,3,0,0,28.0,0,0,7.3125,0.0
156,0.0,1,0,0,51.0,0,1,61.3792,1.0
157,1.0,3,2,1,16.0,0,0,7.7333,2.0
158,0.0,3,0,0,30.0,0,0,8.05,0.0
159,0.0,3,0,0,28.0,0,0,8.6625,0.0
160,0.0,3,3,0,28.0,8,2,69.55,0.0
161,0.0,3,0,0,44.0,0,1,16.1,0.0
162,1.0,2,1,1,40.0,0,0,15.75,0.0
163,0.0,3,0,0,26.0,0,0,7.775,0.0
164,0.0,3,0,0,17.0,0,0,8.6625,0.0
165,0.0,3,3,0,1.0,4,1,39.6875,0.0
166,1.0,3,3,0,9.0,0,2,20.525,0.0
167,1.0,1,1,1,28.0,0,1,55.0,0.0
168,0.0,3,1,1,45.0,1,4,27.9,0.0
169,0.0,1,0,0,28.0,0,0,25.925,0.0
170,0.0,3,0,0,28.0,0,0,56.4958,0.0
171,0.0,1,0,0,61.0,0,0,33.5,0.0
172,0.0,3,3,0,4.0,4,1,29.125,2.0
173,1.0,3,2,1,1.0,1,1,11.1333,0.0
174,0.0,3,0,0,21.0,0,0,7.925,0.0
175,0.0,1,0,0,56.0,0,0,30.6958,1.0
176,0.0,3,0,0,18.0,1,1,7.8542,0.0
177,0.0,3,3,0,28.0,3,1,25.4667,0.0
178,0.0,1,2,1,50.0,0,0,28.7125,1.0
179,0.0,2,0,0,30.0,0,0,13.0,0.0
180,0.0,3,0,0,36.0,0,0,0.0,0.0
181,0.0,3,2,1,28.0,8,2,69.55,0.0
182,0.0,2,0,0,28.0,0,0,15.05,1.0
183,0.0,3,3,0,9.0,4,2,31.3875,0.0
184,1.0,2,3,0,1.0,2,1,39.0,0.0
185,1.0,3,2,1,4.0,0,2,22.025,0.0
186,0.0,1,0,0,28.0,0,0,50.0,0.0
187,1.0,3,1,1,28.0,1,0,15.5,2.0
188,1.0,1,0,0,45.0,0,0,26.55,0.0
189,0.0,3,0,0,40.0,1,1,15.5,2.0
190,0.0,3,0,0,36.0,0,0,7.8958,0.0
191,1.0,2,1,1,32.0,0,0,13.0,0.0
192,0.0,2,0,0,19.0,0,0,13.0,0.0
193,1.0,3,2,1,19.0,1,0,7.8542,0.0
194,1.0,2,3,0,3.0,1,1,26.0,0.0
195,1.0,1,1,1,44.0,0,0,27.7208,1.0
196,1.0,1,2,1,58.0,0,0,146.5208,1.0
197,0.0,3,0,0,28.0,0,0,7.75,2.0
198,0.0,3,0,0,42.0,0,1,8.4042,0.0
199,1.0,3,2,1,28.0,0,0,7.75,2.0
200,0.0,2,2,1,24.0,0,0,13.0,0.0
201,0.0,3,0,0,28.0,0,0,9.5,0.0
202,0.0,3,0,0,28.0,8,2,69.55,0.0
203,0.0,3,0,0,34.0,0,0,6.4958,0.0
204,0.0,3,0,0,45.5,0,0,7.225,1.0
205,1.0,3,0,0,18.0,0,0,8.05,0.0
206,0.0,3,2,1,2.0,0,1,10.4625,0.0
207,0.0,3,0,0,32.0,1,0,15.85,0.0
208,1.0,3,0,0,26.0,0,0,18.7875,1.0
209,1.0,3,2,1,16.0,0,0,7.75,2.0
210,1.0,1,0,0,40.0,0,0,31.0,1.0
211,0.0,3,0,0,24.0,0,0,7.05,0.0
212,1.0,2,2,1,35.0,0,0,21.0,0.0
213,0.0,3,0,0,22.0,0,0,7.25,0.0
214,0.0,2,0,0,30.0,0,0,13.0,0.0
215,0.0,3,0,0,28.0,1,0,7.75,2.0
216,1.0,1,2,1,31.0,1,0,113.275,1.0
217,1.0,3,2,1,27.0,0,0,7.925,0.0
218,0.0,2,0,0,42.0,1,0,27.0,0.0
219,1.0,1,2,1,32.0,0,0,76.2917,1.0
220,0.0,2,0,0,30.0,0,0,10.5,0.0
221,1.0,3,0,0,16.0,0,0,8.05,0.0
222,0.0,2,0,0,27.0,0,0,13.0,0.0
223,0.0,3,0,0,51.0,0,0,8.05,0.0
224,0.0,3,0,0,28.0,0,0,7.8958,0.0
225,1.0,1,0,0,38.0,1,0,90.0,0.0
226,0.0,3,0,0,22.0,0,0,9.35,0.0
227,1.0,2,0,0,19.0,0,0,10.5,0.0
228,0.0,3,0,0,20.5,0,0,7.25,0.0
229,0.0,2,0,0,18.0,0,0,13.0,0.0
230,0.0,3,2,1,28.0,3,1,25.4667,0.0
231,1.0,1,1,1,35.0,1,0,83.475,0.0
232,0.0,3,0,0,29.0,0,0,7.775,0.0
233,0.0,2,0,0,59.0,0,0,13.5,0.0
234,1.0,3,2,1,5.0,4,2,31.3875,0.0
235,0.0,2,0,0,24.0,0,0,10.5,0.0
236,0.0,3,2,1,28.0,0,0,7.55,0.0
237,0.0,2,0,0,44.0,1,0,26.0,0.0
238,1.0,2,2,1,8.0,0,2,26.25,0.0
239,0.0,2,0,0,19.0,0,0,10.5,0.0
240,0.0,2,0,0,33.0,0,0,12.275,0.0
241,0.0,3,2,1,28.0,1,0,14.4542,1.0
242,1.0,3,2,1,28.0,1,0,15.5,2.0
243,0.0,2,0,0,29.0,0,0,10.5,0.0
244,0.0,3,0,0,22.0,0,0,7.125,0.0
245,0.0,3,0,0,30.0,0,0,7.225,1.0
246,0.0,1,6,0,44.0,2,0,90.0,2.0
247,0.0,3,2,1,25.0,0,0,7.775,0.0
248,1.0,2,1,1,24.0,0,2,14.5,0.0
249,1.0,1,0,0,37.0,1,1,52.5542,0.0
250,0.0,2,5,0,54.0,1,0,26.0,0.0
251,0.0,3,0,0,28.0,0,0,7.25,0.0
252,0.0,3,1,1,29.0,1,1,10.4625,0.0
253,0.0,1,0,0,62.0,0,0,26.55,0.0
254,0.0,3,0,0,30.0,1,0,16.1,0.0
255,0.0,3,1,1,41.0,0,2,20.2125,0.0
256,1.0,3,1,1,29.0,0,2,15.2458,1.0
257,1.0,1,1,1,28.0,0,0,79.2,1.0
258,1.0,1,2,1,30.0,0,0,86.5,0.0
259,1.0,1,2,1,35.0,0,0,512.3292,1.0
260,1.0,2,1,1,50.0,0,1,26.0,0.0
261,0.0,3,0,0,28.0,0,0,7.75,2.0
262,1.0,3,3,0,3.0,4,2,31.3875,0.0
263,0.0,1,0,0,52.0,1,1,79.65,0.0
264,0.0,1,0,0,40.0,0,0,0.0,0.0
265,0.0,3,2,1,28.0,0,0,7.75,2.0
266,0.0,2,0,0,36.0,0,0,10.5,0.0
267,0.0,3,0,0,16.0,4,1,39.6875,0.0
268,1.0,3,0,0,25.0,1,0,7.775,0.0
269,1.0,1,1,1,58.0,0,1,153.4625,0.0
270,1.0,1,2,1,35.0,0,0,135.6333,0.0
271,0.0,1,0,0,28.0,0,0,31.0,0.0
272,1.0,3,0,0,25.0,0,0,0.0,0.0
273,1.0,2,1,1,41.0,0,1,19.5,0.0
274,0.0,1,0,0,37.0,0,1,29.7,1.0
275,1.0,3,2,1,28.0,0,0,7.75,2.0
276,1.0,1,2,1,63.0,1,0,77.9583,0.0
277,0.0,3,2,1,45.0,0,0,7.75,0.0
278,0.0,2,0,0,28.0,0,0,0.0,0.0
279,0.0,3,3,0,7.0,4,1,29.125,2.0
280,1.0,3,1,1,35.0,1,1,20.25,0.0
281,0.0,3,0,0,65.0,0,0,7.75,2.0
282,0.0,3,0,0,28.0,0,0,7.8542,0.0
283,0.0,3,0,0,16.0,0,0,9.5,0.0
284,1.0,3,0,0,19.0,0,0,8.05,0.0
285,0.0,1,0,0,28.0,0,0,26.0,0.0
286,0.0,3,0,0,33.0,0,0,8.6625,1.0
287,1.0,3,0,0,30.0,0,0,9.5,0.0
288,0.0,3,0,0,22.0,0,0,7.8958,0.0
289,1.0,2,0,0,42.0,0,0,13.0,0.0
290,1.0,3,2,1,22.0,0,0,7.75,2.0
291,1.0,1,2,1,26.0,0,0,78.85,0.0
292,1.0,1,1,1,19.0,1,0,91.0792,1.0
293,0.0,2,0,0,36.0,0,0,12.875,1.0
294,0.0,3,2,1,24.0,0,0,8.85,0.0
295,0.0,3,0,0,24.0,0,0,7.8958,0.0
296,0.0,1,0,0,28.0,0,0,27.7208,1.0
297,0.0,3,0,0,23.5,0,0,7.2292,1.0
298,0.0,1,2,1,2.0,1,2,151.55,0.0
299,1.0,1,0,0,28.0,0,0,30.5,0.0
300,1.0,1,1,1,50.0,0,1,247.5208,1.0
301,1.0,3,2,1,28.0,0,0,7.75,2.0
302,1.0,3,0,0,28.0,2,0,23.25,2.0
303,0.0,3,0,0,19.0,0,0,0.0,0.0
304,1.0,2,2,1,28.0,0,0,12.35,2.0
305,0.0,3,0,0,28.0,0,0,8.05,0.0
306,1.0,1,3,0,0.92,1,2,151.55,0.0
307,1.0,1,2,1,28.0,0,0,110.8833,1.0
308,1.0,1,1,1,17.0,1,0,108.9,1.0
309,0.0,2,0,0,30.0,1,0,24.0,1.0
310,1.0,1,2,1,30.0,0,0,56.9292,1.0
311,1.0,1,2,1,24.0,0,0,83.1583,1.0
312,1.0,1,2,1,18.0,2,2,262.375,1.0
313,0.0,2,1,1,26.0,1,1,26.0,0.0
314,0.0,3,0,0,28.0,0,0,7.8958,0.0
315,0.0,2,0,0,43.0,1,1,26.25,0.0
316,1.0,3,2,1,26.0,0,0,7.8542,0.0
317,1.0,2,1,1,24.0,1,0,26.0,0.0
318,0.0,2,6,0,54.0,0,0,14.0,0.0
319,1.0,1,2,1,31.0,0,2,164.8667,0.0
320,1.0,1,1,1,40.0,1,1,134.5,1.0
321,0.0,3,0,0,22.0,0,0,7.25,0.0
322,0.0,3,0,0,27.0,0,0,7.8958,0.0
323,1.0,2,2,1,30.0,0,0,12.35,2.0
324,1.0,2,1,1,22.0,1,1,29.0,0.0
325,0.0,3,0,0,28.0,8,2,69.55,0.0
326,1.0,1,2,1,36.0,0,0,135.6333,1.0
327,0.0,3,0,0,61.0,0,0,6.2375,0.0
328,1.0,2,1,1,36.0,0,0,13.0,0.0
329,1.0,3,1,1,31.0,1,1,20.525,0.0
330,1.0,1,2,1,16.0,0,1,57.9792,1.0
331,1.0,3,2,1,28.0,2,0,23.25,2.0
332,0.0,1,0,0,45.5,0,0,28.5,0.0
333,0.0,1,0,0,38.0,0,1,153.4625,0.0
334,0.0,3,0,0,16.0,2,0,18.0,0.0
335,1.0,1,1,1,28.0,1,0,133.65,0.0
336,0.0,3,0,0,28.0,0,0,7.8958,0.0
337,0.0,1,0,0,29.0,1,0,66.6,0.0
338,1.0,1,2,1,41.0,0,0,134.5,1.0
339,1.0,3,0,0,45.0,0,0,8.05,0.0
340,0.0,1,0,0,45.0,0,0,35.5,0.0
341,1.0,2,3,0,2.0,1,1,26.0,0.0
342,1.0,1,2,1,24.0,3,2,263.0,0.0
343,0.0,2,0,0,28.0,0,0,13.0,0.0
344,0.0,2,0,0,25.0,0,0,13.0,0.0
345,0.0,2,0,0,36.0,0,0,13.0,0.0
346,1.0,2,2,1,24.0,0,0,13.0,0.0
347,1.0,2,2,1,40.0,0,0,13.0,0.0
348,1.0,3,1,1,28.0,1,0,16.1,0.0
349,1.0,3,3,0,3.0,1,1,15.9,0.0
350,0.0,3,0,0,42.0,0,0,8.6625,0.0
351,0.0,3,0,0,23.0,0,0,9.225,0.0
352,0.0,1,0,0,28.0,0,0,35.0,0.0
353,0.0,3,0,0,15.0,1,1,7.2292,1.0
354,0.0,3,0,0,25.0,1,0,17.8,0.0
355,0.0,3,0,0,28.0,0,0,7.225,1.0
356,0.0,3,0,0,28.0,0,0,9.5,0.0
357,1.0,1,2,1,22.0,0,1,55.0,0.0
358,0.0,2,2,1,38.0,0,0,13.0,0.0
359,1.0,3,2,1,28.0,0,0,7.8792,2.0
360,1.0,3,2,1,28.0,0,0,7.8792,2.0
361,0.0,3,0,0,40.0,1,4,27.9,0.0
362,0.0,2,0,0,29.0,1,0,27.7208,1.0
363,0.0,3,1,1,45.0,0,1,14.4542,1.0
364,0.0,3,0,0,35.0,0,0,7.05,0.0
365,0.0,3,0,0,28.0,1,0,15.5,2.0
366,0.0,3,0,0,30.0,0,0,7.25,0.0
367,1.0,1,1,1,60.0,1,0,75.25,1.0
368,1.0,3,1,1,28.0,0,0,7.2292,1.0
369,1.0,3,2,1,28.0,0,0,7.75,2.0
370,1.0,1,7,1,24.0,0,0,69.3,1.0
371,1.0,1,0,0,25.0,1,0,55.4417,1.0
372,0.0,3,0,0,18.0,1,0,6.4958,0.0
373,0.0,3,0,0,19.0,0,0,8.05,0.0
374,0.0,1,0,0,22.0,0,0,135.6333,1.0
375,0.0,3,2,1,3.0,3,1,21.075,0.0
376,1.0,1,1,1,28.0,1,0,82.1708,1.0
377,1.0,3,2,1,22.0,0,0,7.25,0.0
378,0.0,1,0,0,27.0,0,2,211.5,1.0
379,0.0,3,0,0,20.0,0,0,4.0125,1.0
380,0.0,3,0,0,19.0,0,0,7.775,0.0
381,1.0,1,2,1,42.0,0,0,227.525,1.0
382,1.0,3,2,1,1.0,0,2,15.7417,1.0
383,0.0,3,0,0,32.0,0,0,7.925,0.0
384,1.0,1,1,1,35.0,1,0,52.0,0.0
385,0.0,3,0,0,28.0,0,0,7.8958,0.0
386,0.0,2,0,0,18.0,0,0,73.5,0.0
387,0.0,3,3,0,1.0,5,2,46.9,0.0
388,1.0,2,2,1,36.0,0,0,13.0,0.0
389,0.0,3,0,0,28.0,0,0,7.7292,2.0
390,1.0,2,2,1,17.0,0,0,12.0,1.0
391,1.0,1,0,0,36.0,1,2,120.0,0.0
392,1.0,3,0,0,21.0,0,0,7.7958,0.0
393,0.0,3,0,0,28.0,2,0,7.925,0.0
394,1.0,1,2,1,23.0,1,0,113.275,1.0
395,1.0,3,1,1,24.0,0,2,16.7,0.0
396,0.0,3,0,0,22.0,0,0,7.7958,0.0
397,0.0,3,2,1,31.0,0,0,7.8542,0.0
398,0.0,2,0,0,46.0,0,0,26.0,0.0
399,0.0,2,6,0,23.0,0,0,10.5,0.0
400,1.0,2,1,1,28.0,0,0,12.65,0.0
401,1.0,3,0,0,39.0,0,0,7.925,0.0
402,0.0,3,0,0,26.0,0,0,8.05,0.0
403,0.0,3,2,1,21.0,1,0,9.825,0.0
404,0.0,3,0,0,28.0,1,0,15.85,0.0
405,0.0,3,2,1,20.0,0,0,8.6625,0.0
406,0.0,2,0,0,34.0,1,0,21.0,0.0
407,0.0,3,0,0,51.0,0,0,7.75,0.0
408,1.0,2,3,0,3.0,1,1,18.75,0.0
409,0.0,3,0,0,21.0,0,0,7.775,0.0
410,0.0,3,2,1,28.0,3,1,25.4667,0.0
411,0.0,3,0,0,28.0,0,0,7.8958,0.0
412,0.0,3,0,0,28.0,0,0,6.8583,2.0
413,1.0,1,2,1,33.0,1,0,90.0,2.0
414,0.0,2,0,0,28.0,0,0,0.0,0.0
415,1.0,3,0,0,44.0,0,0,7.925,0.0
416,0.0,3,1,1,28.0,0,0,8.05,0.0
417,1.0,2,1,1,34.0,1,1,32.5,0.0
418,1.0,2,2,1,18.0,0,2,13.0,0.0
419,0.0,2,0,0,30.0,0,0,13.0,0.0
420,0.0,3,2,1,10.0,0,2,24.15,0.0
421,0.0,3,0,0,28.0,0,0,7.8958,1.0
422,0.0,3,0,0,21.0,0,0,7.7333,2.0
423,0.0,3,0,0,29.0,0,0,7.875,0.0
424,0.0,3,1,1,28.0,1,1,14.4,0.0
425,0.0,3,0,0,18.0,1,1,20.2125,0.0
426,0.0,3,0,0,28.0,0,0,7.25,0.0
427,1.0,2,1,1,28.0,1,0,26.0,0.0
428,1.0,2,2,1,19.0,0,0,26.0,0.0
429,0.0,3,0,0,28.0,0,0,7.75,2.0
430,1.0,3,0,0,32.0,0,0,8.05,0.0
431,1.0,1,0,0,28.0,0,0,26.55,0.0
432,1.0,3,1,1,28.0,1,0,16.1,0.0
433,1.0,2,1,1,42.0,1,0,26.0,0.0
434,0.0,3,0,0,17.0,0,0,7.125,0.0
435,0.0,1,0,0,50.0,1,0,55.9,0.0
436,1.0,1,2,1,14.0,1,2,120.0,0.0
437,0.0,3,2,1,21.0,2,2,34.375,0.0
438,1.0,2,1,1,24.0,2,3,18.75,0.0
439,0.0,1,0,0,64.0,1,4,263.0,0.0
440,0.0,2,0,0,31.0,0,0,10.5,0.0
441,1.0,2,1,1,45.0,1,1,26.25,0.0
442,0.0,3,0,0,20.0,0,0,9.5,0.0
443,0.0,3,0,0,25.0,1,0,7.775,0.0
444,1.0,2,8,1,28.0,0,0,13.0,0.0
445,1.0,3,0,0,28.0,0,0,8.1125,0.0
446,1.0,1,3,0,4.0,0,2,81.8583,0.0
447,1.0,2,2,1,13.0,0,1,19.5,0.0
448,1.0,1,0,0,34.0,0,0,26.55,0.0
449,1.0,3,2,1,5.0,2,1,19.2583,1.0
450,1.0,1,9,0,52.0,0,0,30.5,0.0
451,0.0,2,0,0,36.0,1,2,27.75,0.0
452,0.0,3,0,0,28.0,1,0,19.9667,0.0
453,0.0,1,0,0,30.0,0,0,27.75,1.0
454,1.0,1,0,0,49.0,1,0,89.1042,1.0
455,0.0,3,0,0,28.0,0,0,8.05,0.0
456,1.0,3,0,0,29.0,0,0,7.8958,1.0
457,0.0,1,0,0,65.0,0,0,26.55,0.0
458,1.0,1,1,1,28.0,1,0,51.8625,0.0
459,1.0,2,2,1,50.0,0,0,10.5,0.0
460,0.0,3,0,0,28.0,0,0,7.75,2.0
461,1.0,1,0,0,48.0,0,0,26.55,0.0
462,0.0,3,0,0,34.0,0,0,8.05,0.0
463,0.0,1,0,0,47.0,0,0,38.5,0.0
464,0.0,2,0,0,48.0,0,0,13.0,0.0
465,0.0,3,0,0,28.0,0,0,8.05,0.0
466,0.0,3,0,0,38.0,0,0,7.05,0.0
467,0.0,2,0,0,28.0,0,0,0.0,0.0
468,0.0,1,0,0,56.0,0,0,26.55,0.0
469,0.0,3,0,0,28.0,0,0,7.725,2.0
470,1.0,3,2,1,0.75,2,1,19.2583,1.0
471,0.0,3,0,0,28.0,0,0,7.25,0.0
472,0.0,3,0,0,38.0,0,0,8.6625,0.0
473,1.0,2,1,1,33.0,1,2,27.75,0.0
474,1.0,2,1,1,23.0,0,0,13.7917,1.0
475,0.0,3,2,1,22.0,0,0,9.8375,0.0
476,0.0,1,0,0,28.0,0,0,52.0,0.0
477,0.0,2,0,0,34.0,1,0,21.0,0.0
478,0.0,3,0,0,29.0,1,0,7.0458,0.0
479,0.0,3,0,0,22.0,0,0,7.5208,0.0
480,1.0,3,2,1,2.0,0,1,12.2875,0.0
481,0.0,3,3,0,9.0,5,2,46.9,0.0
482,0.0,2,0,0,28.0,0,0,0.0,0.0
483,0.0,3,0,0,50.0,0,0,8.05,0.0
484,1.0,3,1,1,63.0,0,0,9.5875,0.0
485,1.0,1,0,0,25.0,1,0,91.0792,1.0
486,0.0,3,2,1,28.0,3,1,25.4667,0.0
487,1.0,1,1,1,35.0,1,0,90.0,0.0
488,0.0,1,0,0,58.0,0,0,29.7,1.0
489,0.0,3,0,0,30.0,0,0,8.05,0.0
490,1.0,3,3,0,9.0,1,1,15.9,0.0
491,0.0,3,0,0,28.0,1,0,19.9667,0.0
